index	return	risk	AAPL	SPY	TSLA	RBLX	R	ROL
45.0	0.043400663772583184	0.06394325139258225	0.09900210208354406	-1.584433696542048e-21	6.843734778972412e-21	0.43949669537485747	0.09785830136852222	0.36364290117307635
46.0	0.043930182947332405	0.06508477236761949	0.0933269635756887	-1.5710568310421814e-21	6.776463832600027e-21	0.44885382785579014	0.0997043426774408	0.3581148658910803
47.0	0.044459702122081626	0.06623461127371616	0.08765182506783341	-1.5579949923715901e-21	6.704372979136455e-21	0.4582109603367229	0.10155038398635942	0.3525868306090843
48.0	0.044989221296830854	0.06739234235401895	0.08197668655997813	-1.5440040653619778e-21	6.6365283855691676e-21	0.4675680928176556	0.10339642529527802	0.3470587953270883
49.0	0.045518740471580076	0.06855756578444036	0.07630154805212301	-1.52942863620954e-21	6.565866953883705e-21	0.47692522529858816	0.10524246660419638	0.3415307600450925
50.0	0.0460482596463293	0.06972990596264998	0.07062640954426769	-1.5146638107612444e-21	6.496218389938144e-21	0.4862823577795208	0.10708850791311525	0.33600272476309634
51.0	0.046577778821078525	0.07090900990549591	0.06495127103641261	-1.4996146817239556e-21	6.429458210171031e-21	0.4956394902604535	0.10893454922203348	0.3304746894811005
52.0	0.047107297995827746	0.07209454575029228	0.059276132528557464	-1.4852176098005498e-21	6.3557919199497254e-21	0.504996622741386	0.1107805905309519	0.32494665419910457
53.0	0.04763681717057697	0.07328620135502885	0.053600994020702085	-1.472813968296475e-21	6.2859251967365294e-21	0.5143537552223187	0.11262663183987084	0.3194186189171083
54.0	0.04816633634532619	0.07448368299234563	0.047925855512847185	-1.456468565074682e-21	6.21547423457039e-21	0.5237108877032514	0.11447267314878892	0.31389058363511263
55.0	0.04869585552007541	0.07568671413203384	0.04225071700499184	-1.4457352758089897e-21	6.145045654237025e-21	0.533068020184184	0.11631871445770776	0.30836254835311644
56.0	0.04922537469482463	0.07689503430683772	0.036575578497136496	-1.4319299869988605e-21	6.079179705159432e-21	0.5424251526651166	0.11816475576662633	0.3028345130711206
57.0	0.04975489386957385	0.07810839805642451	0.030900439989281384	-1.4178978786658713e-21	6.01043278052756e-21	0.5517822851460493	0.12001079707554488	0.2973064777891245
58.0	0.05028441304432308	0.07932657394453346	0.02522530148142617	-1.4031141437548322e-21	5.9393754658931825e-21	0.561139417626982	0.12185683838446322	0.2917784425071286
59.0	0.0508139322190723	0.08054934364450014	0.01955016297357108	-1.388433398719482e-21	5.871382014482621e-21	0.5704965501079147	0.12370287969338169	0.28625040722513256
60.0	0.05134345139382152	0.08177650108856199	0.013875024465715965	-1.373788274830811e-21	5.797791215975807e-21	0.5798536825888472	0.12554892100230042	0.28072237194313643
61.0	0.05187297056857074	0.0830078516765791	0.008199885957860748	-1.3609094945665273e-21	5.732859225374804e-21	0.58921081506978	0.12739496231121872	0.27519433666114057
